source_type,source_id,source_name,event_id,event_name,page,command_index,code,kind,text,story_index,draft_id,draft_status
map,22,,2,Intro,2,57,108,comment,Si la tecla de Aceptar está presionada,1,,skip_comment
map,22,,2,Intro,2,60,101,show_text,El \c[2]Modo Fácil\c[0] es para gente que no está muy familiarizada con Pokémon.,1,\c[2]Mode Mudah\c[0] diperuntukkan bagi orang yang belum terlalu mengenal Pokémon.,machine_draft
map,22,,2,Intro,2,62,101,show_text,Los Pokémon de los entrenadores tienen \c[2]2 nivel menos\c[0].,1,Pokémon Pelatih memiliki level \c[2]2 lebih sedikit\c[0].,machine_draft
map,22,,2,Intro,2,64,101,show_text,"Todos los Pokémon de entrenadores, tendrán sus \c[2]IVs y EVs a 0\c[0].",1,Semua Pokémon pelatih akan memiliki \c[2]IV dan EV di 0\c[0].,machine_draft
map,22,,2,Intro,2,66,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x0.75\c[0].",1,Semua PL (Poin Lokal) yang Anda peroleh akan dikalikan dengan \c[2]x0.75\c[0].,machine_draft
map,22,,2,Intro,2,68,101,show_text,¿Estás seguro de que quieres jugar en \c[2]Modo Fácil\c[0]?,1,Apakah Anda yakin ingin bermain di \c[2]Mode Mudah\c[0]?,machine_draft
map,22,,2,Intro,2,69,102,choices,Sí,1,Ya,machine_draft
map,22,,2,Intro,2,69,102,choices,No,1,Tidak,machine_draft
map,22,,2,Intro,2,70,402,choice_branch,Sí,1,Ya,machine_draft
map,22,,2,Intro,2,82,402,choice_branch,No,1,Tidak,machine_draft
map,22,,2,Intro,2,91,101,show_text,El \c[2]Modo Normal\c[0] es el más recomendado para el público.,1,\c[2]Mode Normal\c[0] adalah yang paling direkomendasikan untuk umum.,machine_draft
map,22,,2,Intro,2,93,101,show_text,"Una dificultad estándar, para gente que juega Pokémon de manera casual.",1,"Tingkat kesulitan standar, bagi orang yang memainkan Pokémon dengan santai.",machine_draft
map,22,,2,Intro,2,95,101,show_text,¿Estás seguro de que quieres jugar en \c[2]Modo Normal\c[0]?,1,Apakah Anda yakin ingin bermain dalam \c[2]Mode Normal\c[0]?,machine_draft
map,22,,2,Intro,2,96,102,choices,Sí,1,Ya,machine_draft
map,22,,2,Intro,2,96,102,choices,No,1,Tidak,machine_draft
map,22,,2,Intro,2,97,402,choice_branch,Sí,1,Ya,machine_draft
map,22,,2,Intro,2,109,402,choice_branch,No,1,Tidak,machine_draft
map,22,,2,Intro,2,118,101,show_text,"El \c[2]Modo Difícil\c[0] es un poco más complicado, el nivel de todos los Pokémon de los entrenadores \c[2]aumentan en 1\c[0].",1,"\c[2]Hard Mode\c[0] sedikit lebih rumit, level semua Pokémon pelatih \c[2]meningkat sebesar 1\c[0].",machine_draft
map,22,,2,Intro,2,120,101,show_text,"Además, todos sus Pokémon tendrán \c[2]31 IVs en cada estadística\c[0].",1,"Selain itu, semua Pokémon Anda akan memiliki \c[2]31 IV di setiap stat\c[0].",machine_draft
map,22,,2,Intro,2,122,101,show_text,"No es lo más difícil, pero se te puede llegar a complicar en alguna situación.",1,"Ini bukan yang tersulit, namun bisa menjadi rumit dalam beberapa situasi.",machine_draft
map,22,,2,Intro,2,124,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x1.25\c[0].",1,Semua PL (Poin Lokal) yang Anda peroleh akan dikalikan dengan \c[2]x1.25\c[0].,machine_draft
map,22,,2,Intro,2,126,101,show_text,¿Estás seguro de que quieres jugar en \c[2]Modo Difícil\c[0]?,1,Apakah Anda yakin ingin bermain di \c[2]Hard Mode\c[0]?,machine_draft
map,22,,2,Intro,2,127,102,choices,Sí,1,Ya,machine_draft
map,22,,2,Intro,2,127,102,choices,No,1,Tidak,machine_draft
map,22,,2,Intro,2,128,402,choice_branch,Sí,1,Ya,machine_draft
map,22,,2,Intro,2,140,402,choice_branch,No,1,Tidak,machine_draft
map,22,,2,Intro,2,149,101,show_text,"Oh dios mío, el \c[2]Modo Radical\c[0] es para gente muy loca...",1,"Ya Tuhan, \c[2]Mode Radikal\c[0] ditujukan untuk orang-orang yang sangat gila...",machine_draft
map,22,,2,Intro,2,151,101,show_text,\sh¡Pero que muuuy loca!,1,\shTapi betapa gilanya!,machine_draft
map,22,,2,Intro,2,153,101,show_text,¡Los niveles de todos los Pokémon de tus adversarios aumentarán en \c[2]+3\c[0]!,1,Level semua Pokémon lawan Anda akan meningkat sebesar \c[2]+3\c[0]!,machine_draft
map,22,,2,Intro,2,155,101,show_text,Sus \c[2]EVs estarán al máximo y perfectamente repartidos según el Pokémon\c[0] y sus \c[2]IVs serán perfectos\c[0] en todas sus estadísticas!,1,\c[2]EV-nya akan dimaksimalkan dan didistribusikan dengan sempurna sesuai dengan Pokémon\c[0] dan \c[2]IV-nya akan sempurna\c[0] di semua statistiknya!,machine_draft
map,22,,2,Intro,2,157,101,show_text,"Además, \c[2]NO podrás hacer uso de la mochila en combate contra ellos\c[0].",1,"Selanjutnya, \c[2]Anda TIDAK akan dapat menggunakan ransel dalam pertempuran melawan mereka\c[0].",machine_draft
map,22,,2,Intro,2,159,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x1.75\c[0].",1,Semua PL (Poin Lokal) yang Anda peroleh akan dikalikan dengan \c[2]x1.75\c[0].,machine_draft
map,22,,2,Intro,2,161,101,show_text,¿Estás seguro de que quieres jugar en \c[2]Modo Radical\c[0]?,1,Apakah Anda yakin ingin bermain di \c[2]Mode Radikal\c[0]?,machine_draft
map,22,,2,Intro,2,162,102,choices,Sí,1,Ya,machine_draft
map,22,,2,Intro,2,162,102,choices,No,1,Tidak,machine_draft
map,22,,2,Intro,2,163,402,choice_branch,Sí,1,Ya,machine_draft
map,22,,2,Intro,2,175,402,choice_branch,No,1,Tidak,machine_draft
map,22,,2,Intro,3,1,108,comment,Al pulsar hacia abajo,1,,skip_comment
map,22,,2,Intro,3,3,355,script,echo pbGet(406),1,,skip_script
map,22,,2,Intro,3,17,108,comment,Al pulsar hacia arriba,1,,skip_comment
map,22,,2,Intro,3,32,108,comment,Le doy al BACK,1,,skip_comment
map,22,,2,Intro,3,83,108,comment,Le doy al START,1,,skip_comment
map,22,,2,Intro,3,92,108,comment,Si la tecla de Aceptar está presionada,1,,skip_comment
map,22,,2,Intro,3,96,102,choices,Deselect,1,Batalkan pilihan,machine_draft
map,22,,2,Intro,3,96,102,choices,Information,1,Informasi,machine_draft
map,22,,2,Intro,3,96,102,choices,Nothing,1,tidak ada apa-apa,machine_draft
map,22,,2,Intro,3,97,402,choice_branch,Deselect,1,Batalkan pilihan,machine_draft
map,22,,2,Intro,3,104,402,choice_branch,Information,1,Informasi,machine_draft
map,22,,2,Intro,3,105,101,show_text,"Si se debilita un Pokémon, se considera muerto. Irá directamente a la caja del PC y no podrá ser revivido.",1,"Jika Pokémon dilemahkan, ia dianggap mati. Ini akan langsung masuk ke casing PC dan tidak dapat dihidupkan kembali.",machine_draft
map,22,,2,Intro,3,107,101,show_text,Solo podrás atrapar un Pokémon de la misma linea evolutiva.,1,Anda hanya dapat menangkap satu Pokémon dari garis evolusi yang sama.,machine_draft
map,22,,2,Intro,3,109,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x1.5\c[0].",1,Semua PL (Poin Lokal) yang Anda peroleh akan dikalikan dengan \c[2]x1.5\c[0].,machine_draft
map,22,,2,Intro,3,112,402,choice_branch,Nothing,1,tidak ada apa-apa,machine_draft
map,22,,2,Intro,3,118,102,choices,Select,1,Pilih,machine_draft
map,22,,2,Intro,3,118,102,choices,Information,1,Informasi,machine_draft
map,22,,2,Intro,3,118,102,choices,Nothing,1,tidak ada apa-apa,machine_draft
map,22,,2,Intro,3,119,402,choice_branch,Select,1,Pilih,machine_draft
map,22,,2,Intro,3,126,402,choice_branch,Information,1,Informasi,machine_draft
map,22,,2,Intro,3,127,101,show_text,"Si se debilita un Pokémon, se considera muerto. Irá directamente a la caja del PC y no podrá ser revivido.",1,"Jika Pokémon dilemahkan, ia dianggap mati. Ini akan langsung masuk ke casing PC dan tidak dapat dihidupkan kembali.",machine_draft
map,22,,2,Intro,3,129,101,show_text,Solo podrás atrapar un Pokémon de la misma linea evolutiva.,1,Anda hanya dapat menangkap satu Pokémon dari garis evolusi yang sama.,machine_draft
map,22,,2,Intro,3,131,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x1.5\c[0].",1,Semua PL (Poin Lokal) yang Anda peroleh akan dikalikan dengan \c[2]x1.5\c[0].,machine_draft
map,22,,2,Intro,3,134,402,choice_branch,Nothing,1,tidak ada apa-apa,machine_draft
map,22,,2,Intro,3,145,101,show_text,Este modo no está activo por el momento. Se implementará en el futuro.,1,Mode ini tidak aktif saat ini. Ini akan diterapkan di masa depan.,machine_draft
map,22,,2,Intro,3,153,102,choices,Deselect,1,Batalkan pilihan,machine_draft
map,22,,2,Intro,3,153,102,choices,Information,1,Informasi,machine_draft
map,22,,2,Intro,3,153,102,choices,Nothing,1,tidak ada apa-apa,machine_draft
map,22,,2,Intro,3,154,402,choice_branch,Deselect,1,Batalkan pilihan,machine_draft
map,22,,2,Intro,3,161,402,choice_branch,Information,1,Informasi,machine_draft
map,22,,2,Intro,3,162,101,show_text,"El \c[2]Lucariolocke\c[0] es un modo donde \c[2]si Riolu / Lucario muere\c[0], será \c[2]Game Over\c[0] y \c[2]NO podrás continuar tu partida\c[0].",1,"\c[2]Lucariolocke\c[0] adalah mode di mana \c[2]jika Riolu / Lucario mati\c[0], maka akan menjadi \c[2]Game Over\c[0] dan \c[2]Anda TIDAK akan dapat melanjutkan permainan\c[0] Anda.",machine_draft
map,22,,2,Intro,3,164,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x1.1\c[0].",1,Semua PL (Poin Lokal) yang Anda peroleh akan dikalikan dengan \c[2]x1.1\c[0].,machine_draft
map,22,,2,Intro,3,167,402,choice_branch,Nothing,1,tidak ada apa-apa,machine_draft
map,22,,2,Intro,3,173,102,choices,Select,1,Pilih,machine_draft
map,22,,2,Intro,3,173,102,choices,Information,1,Informasi,machine_draft
map,22,,2,Intro,3,173,102,choices,Nothing,1,tidak ada apa-apa,machine_draft
map,22,,2,Intro,3,174,402,choice_branch,Select,1,Pilih,machine_draft
map,22,,2,Intro,3,181,402,choice_branch,Information,1,Informasi,machine_draft
map,22,,2,Intro,3,182,101,show_text,"El \c[2]Lucariolocke\c[0] es un modo donde \c[2]si Riolu / Lucario muere\c[0], será \c[2]Game Over\c[0] y \c[2]NO podrás continuar tu partida\c[0].",1,"\c[2]Lucariolocke\c[0] adalah mode di mana \c[2]jika Riolu / Lucario mati\c[0], maka akan menjadi \c[2]Game Over\c[0] dan \c[2]Anda TIDAK akan dapat melanjutkan permainan\c[0] Anda.",machine_draft
map,22,,2,Intro,3,184,101,show_text,"Todos los PL (Puntos Locales) que ganes, se multiplicarán en \c[2]x1.1\c[0].",1,Semua PL (Poin Lokal) yang Anda peroleh akan dikalikan dengan \c[2]x1.1\c[0].,machine_draft
map,22,,2,Intro,3,187,402,choice_branch,Nothing,1,tidak ada apa-apa,machine_draft
map,22,,2,Intro,3,197,108,comment,Le doy al START,1,,skip_comment
map,22,,2,Intro,3,199,101,show_text,"Los Modos de Locke \c[2]NO\c[0] son modificables en opciones, el Modo de Dificultad sí.",1,"Mode Locke \c[2]NO\c[0] dapat dimodifikasi dalam opsi, Mode Kesulitan dapat dimodifikasi.",machine_draft
map,22,,2,Intro,3,201,101,show_text,¿Estás seguro que quieres jugar con esta configuración?,1,Apakah Anda yakin ingin bermain-main dengan konfigurasi ini?,machine_draft
map,22,,2,Intro,3,203,102,choices,Yes,1,Ya,machine_draft
map,22,,2,Intro,3,203,102,choices,No,1,Tidak,machine_draft
map,22,,2,Intro,3,204,402,choice_branch,Yes,1,Ya,machine_draft
map,22,,2,Intro,3,221,402,choice_branch,No,1,Tidak,machine_draft
map,22,,2,Intro,4,0,101,show_text,"Para activar el <b>turbo</b>, pulsa la tecla ""Q""</b>. Sólo recomendado en combate y fuera de escenas. Se desactiva pulsando por segunda vez.",1,"Untuk mengaktifkan <b>turbo</b>, tekan tombol ""Q""</b>. Hanya direkomendasikan dalam pertempuran dan di luar layar. Ini dinonaktifkan dengan menekan untuk kedua kalinya.",machine_draft
map,22,,2,Intro,4,9,101,show_text,\dxn[???]¡Hey! ¿Y tú quién eres? ¿Quién interrumpe mi paseo por la playa?,1,\dxn[???]Hei! Dan siapa kamu? Siapa yang mengganggu perjalananku di pantai?,machine_draft
map,22,,2,Intro,4,18,101,show_text,"\dxn[???]¡Oh, rayos! ¡Ya me había olvidado de ti!",1,"\dxn[???]Oh, sial! Aku sudah melupakanmu!",machine_draft
map,22,,2,Intro,4,24,101,show_text,"\dxn[???]Lo siento, dicen que soy una chica muy despistada. Espero que sepas perdonarme.",1,"\dxn[???]Maaf, mereka bilang aku gadis yang sangat bodoh. Saya harap Anda tahu cara memaafkan saya.",machine_draft
map,22,,2,Intro,4,28,101,show_text,"\dxn[Álama]Me presento. Me llamo \c[2]Álama\c[0] y soy la profesora de \c[2]Pueblo Gorrión\c[0], de la región de \c[2]Akebia\c[0].",1,"\dxn[Álama]Saya memperkenalkan diri. Nama saya \c[2]Álama\c[0] dan saya adalah guru \c[2]Pueblo Gorrión\c[0], di wilayah \c[2]Akebia\c[0].",machine_draft
map,22,,2,Intro,4,32,101,show_text,\dxn[Álama]Akebia es una región tropical llena de Pokémon de todo tipo.,1,\dxn[Álama]Akebia adalah wilayah tropis yang penuh dengan segala jenis Pokémon.,machine_draft
map,22,,2,Intro,4,39,101,show_text,\dxn[Álama]¿Cómo? ¿No sabes lo que son los Pokémon?,1,\dxn[Álama]Bagaimana caranya? Tahukah kamu apa itu Pokemon?,machine_draft
map,22,,2,Intro,4,45,101,show_text,\dxn[Álama]Este mundo está habitado por unas criaturas llamadas Pokémon. La gente suele vivir con ellos.,1,\dxn[Álama]Dunia ini dihuni oleh makhluk yang disebut Pokémon. Orang biasanya tinggal bersama mereka.,machine_draft
map,22,,2,Intro,4,49,101,show_text,"\dxn[Álama]Te voy a presentar a mi compañero del alma. ¡Sal, Psyduck!",1,"\dxn[Álama]Aku akan mengenalkanmu pada jodohku. Keluarlah, Psyduck!",machine_draft
map,22,,2,Intro,4,69,101,show_text,\sh\dxn[Álama]¡¿P-Psyduck?! ¿A dónde vas?,1,\sh\dxn[Álama]P-Psyduck?! Kemana kamu pergi?,machine_draft
map,22,,2,Intro,4,74,101,show_text,\dxn[Álama]Otra vez se me escapa... Si es que no hay manera de tratar con él.,1,\dxn[Álama]Setelah lolos dari saya... Jika tidak ada cara untuk menghadapinya.,machine_draft
map,22,,2,Intro,4,79,101,show_text,"\dxn[Álama]En fin... Dicen que de tal Palossand tal astilla, o algo así.",1,"\dxn[Álama]Pokoknya... Katanya seperti Palossand seperti serpihan, atau semacamnya.",machine_draft
map,22,,2,Intro,4,84,101,show_text,"\dxn[Álama]Volviendo a ti... Tú estás en mi clase, ¿verdad?",1,\dxn[Álama]Kembali lagi... Kamu satu kelas denganku kan?,machine_draft
map,22,,2,Intro,4,88,101,show_text,"\dxn[Álama]Háblame un poco sobre ti, que mi memoria es bastante mala.",1,"\dxn[Álama]Ceritakan sedikit tentang diri Anda, ingatan saya sangat buruk.",machine_draft
map,22,,2,Intro,4,91,101,show_text,¿Con quién te sientes más identificado/a?,1,Dengan siapa Anda merasa paling teridentifikasi?,machine_draft
map,22,,2,Intro,6,2,101,show_text,"\dxn[Álama]¡Ajá, ya veo!",1,"\dxn[Álama]Aha, begitu!",machine_draft
map,22,,2,Intro,6,6,101,show_text,\dxn[Álama]Esto... ¿Cómo te llamabas?,1,\dxn[Álama]Ini... Siapa namamu?,machine_draft
map,22,,2,Intro,6,8,355,script,pbTrainerName,1,,skip_script
map,22,,2,Intro,6,11,101,show_text,"\dxn[Álama]¡Ah, ya sé quién eres! ¿Eres \PN, quien vive justo a mi lado?",1,"\dxn[Álama]Ah, saya tahu siapa Anda! Apakah Anda \PN, yang tinggal tepat di sebelah saya?",machine_draft
map,22,,2,Intro,6,12,102,choices,Sí,1,Ya,machine_draft
map,22,,2,Intro,6,12,102,choices,No,1,Tidak,machine_draft
map,22,,2,Intro,6,13,402,choice_branch,Sí,1,Ya,machine_draft
map,22,,2,Intro,6,15,402,choice_branch,No,1,Tidak,machine_draft
map,22,,2,Intro,6,17,101,show_text,"\dxn[Álama]¿Cómo te equivocas con tu nombre? ¡Eres peor que yo, eh!",1,"\dxn[Álama]Apa yang salah dengan namamu? Kamu lebih buruk dariku, ya!",machine_draft
map,22,,2,Intro,6,30,101,show_text,"\dxn[Álama]¡Perfecto, estamos listos!",1,"\dxn[Álama]Sempurna, kami siap!",machine_draft
map,22,,2,Intro,6,34,101,show_text,\dxn[Álama]¡Te doy la bienvenida...!,1,\dxn[Álama]Saya menyambut Anda...!,machine_draft
map,22,,2,Intro,6,38,101,show_text,\sh\dxn[Álama]¡Al mundo de los Pokémon!,1,\sh\dxn[Álama]Ke dunia Pokémon!,machine_draft
map,22,,2,Intro,6,41,355,script,pbToneChangeAll(,1,,skip_script
map,22,,2,Intro,6,42,655,script_cont,"Tone.new(-255, -255, -255, 0),",1,,skip_script
map,22,,2,Intro,6,43,655,script_cont,10),1,,skip_script
map,22,,2,Intro,6,48,355,script,getPointMultiplier,1,,skip_script
map,32,,9,EV009,1,0,101,show_text,<ac>Laboratorio</ac>,3,<ac>Laboratorium</ac>,machine_draft
map,32,,47,EV047,1,0,101,show_text,<ac>Casa de \PN</ac>,3,<ac>Rumah \PN</ac>,machine_draft
map,32,,85,EV085,1,0,108,comment,noshadow,3,,skip_comment
map,32,,28,EV028,1,0,355,script,pbItemBall(:POTION),3,,skip_script
map,32,,66,EV066,1,0,108,comment,noshadow,3,,skip_comment
map,32,,19,EV019,1,0,108,comment,noshadow,3,,skip_comment
map,32,,57,EV057,1,0,108,comment,noshadow,3,,skip_comment
map,32,,38,EV038,1,0,108,comment,noshadow,3,,skip_comment
map,32,,48,EV048,1,0,101,show_text,<ac>¡Bienvenido a Pueblo Gorrión!</ac>,3,<ac>Selamat datang di Kota Sparrow!</ac>,machine_draft
map,32,,48,EV048,1,1,101,show_text,<ac>Dirección Sur: Playa Gorrión</ac>,3,<ac>Arah Selatan: Pantai Sparrow</ac>,machine_draft
map,32,,48,EV048,1,2,101,show_text,<ac>Dirección Este: Ruta 1</ac>,3,<ac>Arah Timur: Rute 1</ac>,machine_draft
map,32,,86,EV086,1,0,108,comment,noshadow,3,,skip_comment
map,32,,29,EV029,1,0,108,comment,noshadow,3,,skip_comment
map,32,,67,"size(3,3) EV067",1,0,108,comment,noshadow,3,,skip_comment
map,32,,20,EV020,1,0,108,comment,noshadow,3,,skip_comment
map,32,,58,EV058,1,0,108,comment,noshadow,3,,skip_comment
map,32,,39,EV039,1,0,108,comment,noshadow,3,,skip_comment
map,32,,87,Monotype Challenge,1,2,101,show_text,¡Hola! ¿Quieres activar el \c[2]reto monotipo\c[0]?,3,Halo! Apakah Anda ingin mengaktifkan tantangan monotype \c[2]\c[0]?,machine_draft
map,32,,87,Monotype Challenge,1,4,101,show_text,Solo puedes activarlo si NO es tu primera partida.,3,Anda hanya dapat mengaktifkannya jika ini BUKAN game pertama Anda.,machine_draft
map,32,,87,Monotype Challenge,1,5,102,choices,"Sí, quiero monotipo.",3,"Ya, saya ingin monotipe.",machine_draft
map,32,,87,Monotype Challenge,1,5,102,choices,No quiero.,3,Saya tidak mau.,machine_draft
map,32,,87,Monotype Challenge,1,6,402,choice_branch,"Sí, quiero monotipo.",3,"Ya, saya ingin monotipe.",machine_draft
map,32,,87,Monotype Challenge,1,7,355,script,options = MonotypeChallenge.type_options,3,,skip_script
map,32,,87,Monotype Challenge,1,8,655,script_cont,"ret = pbMessage(""Elige el tipo para tu reto"", options)",3,,skip_script
map,32,,87,Monotype Challenge,1,9,655,script_cont,MonotypeChallenge.type = ret,3,,skip_script
map,32,,87,Monotype Challenge,1,10,101,show_text,"Estupendo, a partir de aquí, solo podrás tener Pokémon de dicho tipo.",3,"Hebat, mulai sekarang, Anda hanya bisa memiliki Pokémon jenis itu.",machine_draft
map,32,,87,Monotype Challenge,1,12,101,show_text,¡Nos vemos!,3,Sampai jumpa!,machine_draft
map,32,,87,Monotype Challenge,1,16,402,choice_branch,No quiero.,3,Saya tidak mau.,machine_draft
map,32,,87,Monotype Challenge,1,19,108,comment,Salimos del evento para que no ejecute lo que viene,3,,skip_comment
map,32,,87,Monotype Challenge,1,20,408,comment_cont,después.,3,,skip_comment
map,32,,87,Monotype Challenge,1,28,101,show_text,No tienes instalado en tu juego el script del,3,Anda belum menginstal skrip di game Anda.,machine_draft
map,32,,87,Monotype Challenge,1,29,401,show_text_cont,Monotype. Añádelo para poder usar estas funciones.,3,Monotipe. Tambahkan untuk dapat menggunakan fitur ini.,machine_draft
map,32,,30,EV030,1,0,108,comment,noshadow,3,,skip_comment
map,32,,68,"size(3,3) EV068",1,0,108,comment,noshadow,3,,skip_comment
map,32,,11,EV011,1,0,101,show_text,<ac>Casa de Eda</ac>,3,<ac>Rumah Eda</ac>,machine_draft
map,32,,49,EV049,1,0,101,show_text,<ac>¡Bienvenido a Pueblo Gorrión!</ac>,3,<ac>Selamat datang di Kota Sparrow!</ac>,machine_draft
map,32,,49,EV049,1,1,101,show_text,<ac>Dirección Sur: Playa Gorrión</ac>,3,<ac>Arah Selatan: Pantai Sparrow</ac>,machine_draft
map,32,,49,EV049,1,2,101,show_text,<ac>Dirección Este: Ruta 1</ac>,3,<ac>Arah Timur: Rute 1</ac>,machine_draft
map,32,,21,,1,6,355,script,"pbRemoveDependency2(""FollowerPkmn"")",3,,skip_script
map,32,,59,EV059,1,0,108,comment,noshadow,3,,skip_comment
map,32,,2,Intro2,1,40,355,script,pbToneChangeAll(,3,,skip_script
map,32,,2,Intro2,1,41,655,script_cont,"Tone.new(-255, -255, -255, 0),",3,,skip_script
map,32,,2,Intro2,1,42,655,script_cont,20),3,,skip_script
map,32,,2,Intro2,1,47,355,script,pbToneChangeAll(,3,,skip_script
map,32,,2,Intro2,1,48,655,script_cont,"Tone.new(0, 0, 0, 0),",3,,skip_script
map,32,,2,Intro2,1,49,655,script_cont,30),3,,skip_script
map,32,,40,EV040,1,0,108,comment,noshadow,3,,skip_comment
map,32,,31,EV031,1,0,108,comment,noshadow,3,,skip_comment
map,32,,69,EV069,1,0,108,comment,noshadow,3,,skip_comment
